pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
1650383,tcp,192.168.100.147,57096,192.168.100.3,80,174,0.019462,32,1.921628,1,1.941096,100,0.430691,0.560154,1.960564,1,DDoS,HTTP
3577299,udp,192.168.100.3,41483,192.5.5.241,53,3698,0,29,0.027934,2,0.027934,2,0,0,0.027934,0,Normal,Normal
1650433,tcp,192.168.100.150,54188,192.168.100.3,80,79,0.535486,47,9.70E-05,1,0.535583,100,0.377423,0.627927,1.071068,1,DDoS,HTTP
1650317,tcp,192.168.100.149,41704,192.168.100.3,80,108,0.947668,46,0,1,0.670157,100,0.262989,0.372643,2.010362,1,DDoS,HTTP
1651081,tcp,192.168.100.149,42328,192.168.100.3,80,829,0.915729,93,0,1,0.64756,100,0.24885,0.357193,1.942596,1,DDoS,HTTP
1651008,tcp,192.168.100.149,42186,192.168.100.3,80,758,0.013154,93,0,1,0.009301,100,0.591153,0.356636,0.027904,1,DDoS,HTTP
3576970,udp,192.168.100.148,53917,224.0.0.251,5353,14568,0,12,0,4,0,24,0,0,0,0,Normal,Normal
1651059,tcp,192.168.100.149,42284,192.168.100.3,80,807,0.934403,93,0,1,0.660773,100,0.249533,0.357023,1.982218,1,DDoS,HTTP
1651085,tcp,192.168.100.149,42336,192.168.100.3,80,833,0.915775,93,0,1,0.647591,100,0.248881,0.357228,1.942692,1,DDoS,HTTP
1650526,tcp,192.168.100.148,55510,192.168.100.3,80,370,0.354547,21,0,1,0.250702,100,0.517323,0.100229,0.752107,1,DDoS,HTTP
1651055,tcp,192.168.100.149,42276,192.168.100.3,80,803,0.93434,93,0,1,0.660724,100,0.249505,0.356992,1.98208,1,DDoS,HTTP
3577330,udp,192.168.100.3,50452,192.55.83.30,53,3743,0,74,0.167449,2,0.167449,1,0,0,0.167449,0,Normal,Normal
1650585,tcp,192.168.100.150,54400,192.168.100.3,80,298,5.10E-05,54,0,1,2.90E-05,100,0.249047,0.091897,0.000117,1,DDoS,HTTP
1650877,tcp,192.168.100.149,42046,192.168.100.3,80,600,0.017599,79,9.00E-05,1,0.017688,100,0.291497,0.582994,0.035287,1,DDoS,HTTP
3577360,udp,192.168.100.3,20844,192.31.80.30,53,3816,0,74,0.280742,2,0.280742,2,0,0,0.280742,0,Normal,Normal
1650745,tcp,192.168.100.147,57338,192.168.100.3,80,493,4.10E-05,46,0,1,2.40E-05,100,0.24929,0.178467,9.40E-05,1,DDoS,HTTP
1650373,tcp,192.168.100.147,57076,192.168.100.3,80,164,0.489033,32,1.964262,1,2.453295,100,0.375628,0.502468,2.942329,1,DDoS,HTTP
3577184,udp,192.168.100.148,46101,224.0.0.251,5353,4234,0,14,0,4,0,21,0,0,0,0,Normal,Normal
1650902,tcp,192.168.100.149,42096,192.168.100.3,80,625,0.007575,55,8.70E-05,1,0.007662,100,0.291735,0.583469,0.015237,1,DDoS,HTTP
1650850,tcp,192.168.100.150,54494,192.168.100.3,80,707,0.210852,19,0,1,0.149095,100,0.543813,0.147893,0.447285,1,DDoS,HTTP
1651016,tcp,192.168.100.149,42198,192.168.100.3,80,764,0.012832,93,0,1,0.009074,100,0.590949,0.35669,0.027221,1,DDoS,HTTP
1650321,tcp,192.168.100.149,41712,192.168.100.3,80,112,0.947697,46,0,1,0.670168,100,0.263032,0.372693,2.010414,1,DDoS,HTTP
1650451,tcp,192.168.100.147,57146,192.168.100.3,80,199,0.454112,16,0.973033,1,1.427145,100,0.43313,0.632962,1.881257,1,DDoS,HTTP
1650833,tcp,192.168.100.149,41936,192.168.100.3,80,542,1.267777,79,0,1,1.3327,100,0.272791,0.585391,3.037714,1,DDoS,HTTP
1651121,tcp,192.168.100.149,42408,192.168.100.3,80,869,0.910505,89,0,1,0.643886,100,0.248877,0.357509,1.931534,1,DDoS,HTTP
1651053,tcp,192.168.100.149,42272,192.168.100.3,80,801,0.936164,93,0,1,0.66212,100,0.249572,0.356974,1.986056,1,DDoS,HTTP
1650993,tcp,192.168.100.149,42174,192.168.100.3,80,752,0.013766,55,0,1,0.009734,100,0.589924,0.356575,0.029203,1,DDoS,HTTP
1650327,tcp,192.168.100.149,41724,192.168.100.3,80,118,0.945836,46,0,1,0.668847,100,0.263003,0.372768,2.006461,1,DDoS,HTTP
1650697,tcp,192.168.100.149,41820,192.168.100.3,80,447,0.940411,17,0,1,0.665011,100,0.249957,0.357219,1.994953,1,DDoS,HTTP
1651078,tcp,192.168.100.149,42322,192.168.100.3,80,826,0.917598,93,0,1,0.648884,100,0.248915,0.357172,1.946563,1,DDoS,HTTP
3577143,udp,192.168.100.147,35587,192.168.217.2,53,27539,0,18,0,4,0,18,0,0.399823,0,0,Normal,Normal
3577125,udp,192.168.100.149,43314,192.168.217.2,53,20427,0,14,0,4,0,18,0,0.399822,0,0,Normal,Normal
1650463,tcp,192.168.100.150,54278,192.168.100.3,80,237,0.986519,47,0,1,0.697574,100,0.42028,0.09185,2.092722,1,DDoS,HTTP
1650555,tcp,192.168.100.150,54336,192.168.100.3,80,266,5.40E-05,54,0,1,3.10E-05,100,0.249322,0.091873,0.000124,1,DDoS,HTTP
1650376,tcp,192.168.100.147,57082,192.168.100.3,80,167,0.489089,32,1.964325,1,2.453414,100,0.375661,0.603,2.942504,1,DDoS,HTTP
3577264,udp,192.168.100.148,37054,8.8.8.8,53,1883,0,20,0.007235,2,0.007235,15,0,0,0.007235,0,Normal,Normal
3576981,udp,192.168.100.147,40542,192.168.217.2,53,15663,0,12,0,4,0,8,0,0.399999,0,0,Normal,Normal
1650262,tcp,192.168.100.150,54112,192.168.100.3,80,21,0.544197,38,0.135375,1,0.679572,40,0.468322,0.780536,1.223769,1,DDoS,HTTP
1650548,tcp,192.168.100.150,54322,192.168.100.3,80,259,4.40E-05,54,0,1,2.50E-05,100,0.249668,0.091867,0.000101,1,DDoS,HTTP
3577164,tcp,192.168.100.3,59552,13.55.154.73,8883,41,1.368135,6,0.006303,2,4.225939,1,0.815743,0.815743,4.999998,0,Normal,Normal
1650536,tcp,192.168.100.148,55530,192.168.100.3,80,380,0.354914,21,0,1,0.250962,100,0.51727,0.100235,0.752887,1,DDoS,HTTP
1650603,tcp,192.168.100.149,41790,192.168.100.3,80,314,0.006752,17,0.000104,1,0.006855,100,0.326912,0.653825,0.013607,1,DDoS,HTTP
1650941,tcp,192.168.100.147,57406,192.168.100.3,80,649,3.90E-05,45,0,1,2.20E-05,100,0.252309,0.23959,8.90E-05,1,DDoS,HTTP
3577215,ipv6-icmp,fe80::250:56ff:febe:254,133,ff02::2,0,8513,0,1,0,8,0,3,0,0,0,0,Normal,Normal
1650403,tcp,192.168.100.150,54108,192.168.100.3,80,19,0.458329,47,0.222693,1,0.681022,100,0.569535,0.78042,1.139351,1,DDoS,HTTP
1650994,tcp,192.168.100.149,42176,192.168.100.3,80,753,0.013623,55,0,1,0.009633,100,0.589974,0.356587,0.028898,1,DDoS,HTTP
1651047,tcp,192.168.100.149,42260,192.168.100.3,80,795,0.936134,93,0,1,0.661987,100,0.249531,0.356927,1.98588,1,DDoS,HTTP
1650680,tcp,192.168.100.147,57284,192.168.100.3,80,433,5.90E-05,53,0,1,3.40E-05,100,0.250564,0.1784,0.000136,1,DDoS,HTTP
1650809,tcp,192.168.100.149,41928,192.168.100.3,80,538,1.520496,79,1.936092,1,3.456588,100,0.299328,0.418111,4.977084,1,DDoS,HTTP
1651014,tcp,192.168.100.149,42194,192.168.100.3,80,762,0.01277,93,0,1,0.00903,100,0.591345,0.356675,0.027089,1,DDoS,HTTP
1651123,tcp,192.168.100.149,42412,192.168.100.3,80,871,0.910542,89,0,1,0.643895,100,0.248891,0.357525,1.931595,1,DDoS,HTTP
3576974,udp,192.168.100.150,57854,192.168.217.2,53,14578,0,14,0,4,0,8,0,0.399821,0,0,Normal,Normal
1651043,tcp,192.168.100.149,42252,192.168.100.3,80,791,0.936085,93,0,1,0.661967,100,0.249507,0.356901,1.985791,1,DDoS,HTTP
1650335,tcp,192.168.100.149,41740,192.168.100.3,80,126,0.944021,46,0,1,0.667564,100,0.262979,0.372846,2.002612,1,DDoS,HTTP
1650868,tcp,192.168.100.149,42028,192.168.100.3,80,591,0.021055,79,0.000204,1,0.021259,100,0.291397,0.582793,0.042314,1,DDoS,HTTP
1651064,tcp,192.168.100.149,42294,192.168.100.3,80,812,0.932565,93,0,1,0.659466,100,0.24948,0.357058,1.978312,1,DDoS,HTTP
1650446,tcp,192.168.100.147,57136,192.168.100.3,80,194,0.430841,16,0.997008,1,1.427848,100,0.434533,0.632834,1.858689,1,DDoS,HTTP
1650596,tcp,192.168.100.147,57192,192.168.100.3,80,309,0.002056,25,8.80E-05,1,0.002145,100,0.290786,0.581573,0.004201,1,DDoS,HTTP
3577335,udp,192.168.100.3,40306,192.41.162.30,53,3765,0,74,0.169052,2,0.169052,4,0,0,0.169052,0,Normal,Normal
1650520,tcp,192.168.100.150,54246,192.168.100.3,80,221,0.50087,54,0,1,0.354169,100,0.490447,0.091839,1.062506,1,DDoS,HTTP
1650708,tcp,192.168.100.149,41830,192.168.100.3,80,458,0.936654,45,0,1,0.662375,100,0.24982,0.357254,1.987003,1,DDoS,HTTP
1650599,tcp,192.168.100.147,57198,192.168.100.3,80,312,0.001775,25,9.80E-05,1,0.001873,100,0.290823,0.581646,0.003647,1,DDoS,HTTP
3576952,udp,192.168.100.147,38810,129.250.35.250,123,12832,0,12,0.00697,2,0.00697,1,0,0,0.00697,0,Normal,Normal
1650384,tcp,192.168.100.147,57098,192.168.100.3,80,175,0.019423,32,1.921731,1,1.941154,100,0.430703,0.560166,1.960576,1,DDoS,HTTP
1651216,tcp,192.168.100.147,57524,192.168.100.3,80,965,0.000127,89,0,1,9.00E-05,96,0.594757,0.237434,0.000269,1,DDoS,HTTP
3577101,udp,fe80::250:56ff:febe:e9d9,5353,ff02::fb,5353,13896,0,1,0,4,0,3,0,0,0,0,Normal,Normal
3577097,udp,192.168.100.149,55957,8.8.8.8,53,12689,0,12,0.007815,2,0.007815,14,0,0,0.007815,0,Normal,Normal
3576897,udp,192.168.100.148,36138,192.168.217.2,53,63,0,63,0,4,0,4,0,0.399805,0,0,Normal,Normal
1650717,tcp,192.168.100.150,54430,192.168.100.3,80,332,4.80E-05,8,0,1,2.80E-05,100,0.271392,0.093652,0.000112,1,DDoS,HTTP
1650266,tcp,192.168.100.150,54120,192.168.100.3,80,25,1.113392,38,0,1,1.113392,40,0.898157,0.624985,2.226783,1,DDoS,HTTP
3576887,udp,192.168.100.149,51838,27.124.125.250,123,11,0,26,0.048565,2,0.048565,1,0,0,0.048565,0,Normal,Normal
1650661,tcp,192.168.100.147,57262,192.168.100.3,80,421,4.50E-05,53,0,1,2.60E-05,100,0.275712,0.178377,0.000104,1,DDoS,HTTP
3577337,udp,192.168.100.3,20916,199.19.56.1,53,3767,0,74,0.257886,2,0.257886,2,0,0,0.257886,0,Normal,Normal
3576998,tcp,192.168.100.46,80,192.168.100.5,80,2,0.007897,6,4.946117,2,4.96171,7,0,17.942684,4.998015,0,Normal,Normal
1650826,tcp,192.168.100.149,42000,192.168.100.3,80,577,0.574462,79,0.000263,1,0.574725,100,0.34962,0.582269,1.149187,1,DDoS,HTTP
1650810,tcp,192.168.100.149,41930,192.168.100.3,80,539,1.5203,79,1.936425,1,3.456725,100,0.299334,0.418107,4.977025,1,DDoS,HTTP
1650419,tcp,192.168.100.150,54172,192.168.100.3,80,65,0.550965,47,0.000101,1,0.551066,100,0.379423,0.627628,1.102031,1,DDoS,HTTP
1650995,tcp,192.168.100.149,42178,192.168.100.3,80,754,0.013571,55,0,1,0.009596,100,0.590008,0.356594,0.028788,1,DDoS,HTTP
1650776,tcp,192.168.100.150,54468,192.168.100.3,80,543,1.164351,8,0,1,0.475351,100,0.079341,0.288409,3.327417,1,DDoS,HTTP
1651219,tcp,192.168.100.147,57530,192.168.100.3,80,968,0.002816,89,0,1,0.001991,96,0.593889,0.237441,0.005974,1,DDoS,HTTP
1650503,tcp,192.168.100.147,57148,192.168.100.3,80,200,0.450739,25,0.977103,1,1.427841,100,0.433395,0.632975,1.87858,1,DDoS,HTTP
1651114,tcp,192.168.100.149,42394,192.168.100.3,80,862,0.912332,89,0,1,0.645159,100,0.248906,0.357446,1.935391,1,DDoS,HTTP
3576984,udp,192.168.100.5,56784,192.168.100.1,53,22198,0,7,0.052971,2,0.052971,7,0,0,0.052971,0,Normal,Normal
3577281,udp,192.168.100.3,36968,192.33.14.30,53,3666,0,29,0.010919,2,0.010919,2,0,0,0.010919,0,Normal,Normal
3577290,udp,192.168.100.3,47696,205.251.199.148,53,3682,0,29,0.350171,2,0.350171,2,0,0,0.350171,0,Normal,Normal
3577283,udp,192.168.100.3,40018,192.58.128.30,53,3672,0,29,0.015716,2,0.015716,3,0,0,0.015716,0,Normal,Normal
1650425,tcp,192.168.100.150,54180,192.168.100.3,80,72,0.540588,47,9.10E-05,1,0.540679,100,0.378045,0.627781,1.081266,1,DDoS,HTTP
1650794,tcp,192.168.100.149,41976,192.168.100.3,80,565,0.680135,45,0.826733,1,1.506868,100,0.350596,0.887021,2.187003,1,DDoS,HTTP
1651010,tcp,192.168.100.147,57474,192.168.100.3,80,683,0.441395,7,0,1,0.25484,100,0.27495,0.302323,1.019358,1,DDoS,HTTP
3577032,tcp,192.168.100.3,59552,13.55.154.73,8883,18,1.251197,23,0.006134,2,4.312233,1,0.90097,0.900972,4.999997,0,Normal,Normal
1650834,tcp,192.168.100.149,41938,192.168.100.3,80,546,0.986431,79,0.952414,1,1.938846,100,0.376538,0.896888,2.925277,1,DDoS,HTTP
3577311,udp,192.168.100.3,61382,192.12.94.30,53,3717,0,74,0.166266,2,0.166266,4,0,0,0.166266,0,Normal,Normal
1650963,tcp,192.168.100.147,57420,192.168.100.3,80,656,5.60E-05,45,0,1,3.20E-05,100,0.252224,0.239635,0.000129,1,DDoS,HTTP
1650297,tcp,192.168.100.150,54204,192.168.100.3,80,88,0.026297,38,0.000101,1,0.026398,40,0.314099,0.628198,0.052695,1,DDoS,HTTP
3577028,arp,192.168.100.147,-1,192.168.100.1,-1,4538,0,6,0.000118,2,0.000118,12,0,0,0.000118,0,Normal,Normal
1650269,tcp,192.168.100.150,54126,192.168.100.3,80,28,1.611953,38,0,1,1.611953,40,0.620366,0.625353,3.223905,1,DDoS,HTTP
1651221,tcp,192.168.100.147,57534,192.168.100.3,80,970,0.002819,89,0,1,0.001993,96,0.593963,0.237448,0.00598,1,DDoS,HTTP
1650729,tcp,192.168.100.149,41852,192.168.100.3,80,477,0.925456,45,0,1,0.654433,100,0.249402,0.357347,1.963225,1,DDoS,HTTP
1650507,tcp,192.168.100.147,57156,192.168.100.3,80,204,0.457776,25,0.969164,1,1.42694,100,0.432976,0.633075,1.884716,1,DDoS,HTTP
1650802,tcp,192.168.100.149,41908,192.168.100.3,80,527,0.914375,79,0,1,0.646619,100,0.271706,0.385175,1.939741,1,DDoS,HTTP
1650900,tcp,192.168.100.149,42092,192.168.100.3,80,623,0.007675,79,8.00E-05,1,0.007755,100,0.291721,0.583442,0.015429,1,DDoS,HTTP
3577070,udp,192.168.100.149,57987,8.8.8.8,53,5430,0.000225,12,0.144065,2,0.144295,14,2178.64917,1000000,0.144525,0,Normal,Normal
3577093,udp,192.168.100.149,36033,192.168.217.2,53,11613,0,12,0,4,0,9,0,0.399843,0,0,Normal,Normal
1650959,tcp,192.168.100.147,57418,192.168.100.3,80,655,5.00E-05,45,0,1,2.90E-05,100,0.25221,0.239628,0.000116,1,DDoS,HTTP
3577210,arp,192.168.100.148,-1,192.168.100.1,-1,6340,5.20E-05,20,4.60E-05,2,0.000115,10,0.002335,0.002335,0.000191,0,Normal,Normal
3577287,udp,192.168.100.3,52460,205.251.196.160,53,3677,0,29,0.009688,2,0.009688,2,0,0,0.009688,0,Normal,Normal
1650306,tcp,192.168.100.150,54222,192.168.100.3,80,97,0.013305,21,9.80E-05,1,0.013403,100,0.314219,0.628438,0.026708,1,DDoS,HTTP
1650772,tcp,192.168.100.147,57366,192.168.100.3,80,520,1.216645,46,0,1,0.608356,100,0.252355,0.285591,3.041645,1,DDoS,HTTP
1650511,tcp,192.168.100.147,57168,192.168.100.3,80,210,0.464868,25,0.961282,1,1.426151,100,0.432583,0.633202,1.891019,1,DDoS,HTTP
1650575,tcp,192.168.100.150,54376,192.168.100.3,80,286,4.80E-05,54,0,1,2.80E-05,100,0.249188,0.091888,0.00011,1,DDoS,HTTP
1650283,tcp,192.168.100.150,54154,192.168.100.3,80,42,2.114964,38,0,1,2.114964,40,0.472821,0.626326,4.229928,1,DDoS,HTTP
1651145,tcp,192.168.100.149,42456,192.168.100.3,80,893,0.90702,89,0,1,0.641406,100,0.248872,0.357691,1.924126,1,DDoS,HTTP
1650530,tcp,192.168.100.148,55518,192.168.100.3,80,374,0.354233,21,0,1,0.25048,100,0.517459,0.100232,0.751441,1,DDoS,HTTP
1650987,tcp,192.168.100.149,42162,192.168.100.3,80,746,0.012234,55,0,1,0.008651,100,0.589697,0.35653,0.025953,1,DDoS,HTTP
1650434,tcp,192.168.100.150,54190,192.168.100.3,80,81,0.535067,47,9.40E-05,1,0.535162,100,0.37739,0.627965,1.070229,1,DDoS,HTTP
3577056,udp,192.168.100.150,59360,192.168.217.2,53,4326,0,14,0,4,0,9,0,0.399998,0,0,Normal,Normal
1651151,tcp,192.168.100.149,42468,192.168.100.3,80,899,0.905174,89,0,1,0.640098,100,0.248827,0.357737,1.920207,1,DDoS,HTTP
3577148,udp,192.168.100.147,44499,8.8.8.8,53,30657,0,18,0.007337,2,0.007337,19,0,0,0.007337,0,Normal,Normal
1650409,tcp,192.168.100.149,41670,192.168.100.3,80,57,1.481176,19,0,1,1.047425,100,0.291393,0.372093,3.142124,1,DDoS,HTTP
1650396,tcp,192.168.100.150,54094,192.168.100.3,80,12,0.681214,21,0.000659,1,0.681873,100,0.594407,0.780015,1.363087,1,DDoS,HTTP
1651036,tcp,192.168.100.149,42238,192.168.100.3,80,784,0.9379,93,0,1,0.663249,100,0.249544,0.356848,1.98964,1,DDoS,HTTP
1650901,tcp,192.168.100.149,42094,192.168.100.3,80,624,0.00767,55,8.00E-05,1,0.00775,100,0.291722,0.583444,0.01542,1,DDoS,HTTP
3576910,udp,192.168.100.150,56854,255.255.255.255,1124,4094,0,14,0,4,0,2,0,0,0,0,Normal,Normal
1650762,tcp,192.168.100.147,57356,192.168.100.3,80,510,3.80E-05,46,0,1,2.20E-05,100,0.249183,0.178483,8.70E-05,1,DDoS,HTTP
1650742,tcp,192.168.100.149,41870,192.168.100.3,80,490,0.923697,45,0,1,0.653196,100,0.249376,0.35741,1.9595,1,DDoS,HTTP
3577187,udp,192.168.100.150,53016,224.0.0.251,5353,4241,0,18,0,4,0,21,0,0,0,0,Normal,Normal
1651127,tcp,192.168.100.149,42420,192.168.100.3,80,875,0.908653,89,0,1,0.642583,100,0.248833,0.357554,1.927613,1,DDoS,HTTP
1650935,tcp,192.168.100.149,42108,192.168.100.3,80,719,0.011856,55,0,1,0.008384,100,0.589471,0.356291,0.025151,1,DDoS,HTTP
3577137,udp,192.168.100.150,34222,8.8.8.8,53,23543,0,18,0.006721,2,0.006721,19,0,0,0.006721,0,Normal,Normal
1651196,tcp,192.168.100.149,42542,192.168.100.3,80,938,0.608549,89,8.50E-05,1,0.608634,100,0.356737,0.586205,1.217183,1,DDoS,HTTP
3577256,udp,192.168.100.148,46862,8.8.8.8,53,27021,0,20,0.007215,2,0.007215,15,0,0,0.007215,0,Normal,Normal
1651143,tcp,192.168.100.149,42452,192.168.100.3,80,891,0.907004,89,0,1,0.641388,100,0.248859,0.357676,1.924085,1,DDoS,HTTP
3577310,udp,192.168.100.3,30187,205.251.199.194,53,3716,0,74,0.340996,2,0.340996,1,0,0,0.340996,0,Normal,Normal
1650381,tcp,192.168.100.147,57092,192.168.100.3,80,172,0.019384,32,1.921761,1,1.941139,100,0.430662,0.560128,1.960518,1,DDoS,HTTP
1650813,tcp,192.168.100.149,41934,192.168.100.3,80,541,1.52159,79,1.93646,1,3.45805,100,0.29935,0.501749,4.979641,1,DDoS,HTTP
1650836,tcp,192.168.100.149,41944,192.168.100.3,80,549,0.490294,79,0.936384,1,1.426679,100,0.431091,0.633274,1.916973,1,DDoS,HTTP
1650760,tcp,192.168.100.147,57354,192.168.100.3,80,508,3.20E-05,46,0,1,1.90E-05,100,0.24926,0.178482,7.50E-05,1,DDoS,HTTP
1650998,tcp,192.168.100.147,57450,192.168.100.3,80,671,0.367008,45,0,1,0.211892,100,0.251688,0.383535,0.847568,1,DDoS,HTTP
3577203,udp,192.168.100.147,58949,224.0.0.251,5353,4287,0,11,0,4,0,8,0,0,0,0,Normal,Normal
1650796,tcp,192.168.100.149,41902,192.168.100.3,80,524,0.916083,45,0,1,0.64822,100,0.271762,0.385124,1.943757,1,DDoS,HTTP
1650651,tcp,192.168.100.150,54446,192.168.100.3,80,340,4.30E-05,27,0,1,2.50E-05,100,0.271776,0.093658,0.0001,1,DDoS,HTTP
3577051,udp,192.168.100.3,48989,192.36.148.17,53,4033,0,23,0.057087,2,0.057087,2,0,0,0.057087,0,Normal,Normal
3577153,udp,192.168.100.149,54806,8.8.8.8,53,31738,0,14,0.007011,2,0.007011,19,0,0,0.007011,0,Normal,Normal
1650467,tcp,192.168.100.148,55470,192.168.100.3,80,350,4.70E-05,18,0,1,2.70E-05,100,0.275452,0.090953,0.000108,1,DDoS,HTTP
1650747,tcp,192.168.100.149,41874,192.168.100.3,80,495,0.921759,45,0,1,0.651964,100,0.249311,0.357432,1.955528,1,DDoS,HTTP
1650719,tcp,192.168.100.149,41840,192.168.100.3,80,467,0.934846,45,0,1,0.661082,100,0.249776,0.357298,1.983154,1,DDoS,HTTP
1650795,tcp,192.168.100.149,41900,192.168.100.3,80,523,0.916204,45,0,1,0.648033,100,0.271753,0.385114,1.943741,1,DDoS,HTTP
1651082,tcp,192.168.100.149,42330,192.168.100.3,80,830,0.915736,93,0,1,0.647563,100,0.248856,0.357199,1.942609,1,DDoS,HTTP
1651194,tcp,192.168.100.149,42536,192.168.100.3,80,935,0.890398,89,0.000248,1,0.890646,100,0.594838,0.732661,1.781043,1,DDoS,HTTP
